DATATYPE ZTEM
1 289 290 291 1 		 -0.0761893 0.01380947 -0.06751576 0.01337579 -0.1297231 0.01648616 -0.05596738 0.01279837
1 292 293 294 1 		 -0.09382103 0.01469105 -0.063795 0.01318975 -0.1202012 0.01601006 -0.0547635 0.01273818
1 295 296 297 1 		 -0.06025376 0.01301269 -0.03841993 0.011921 -0.06025376 0.01301269 -0.03841993 0.011921
1 298 299 300 1 		 0.02823519 0.01141176 0.01021013 0.01051051 -0.01033406 0.0105167 -0.01271477 0.01063574
1 301 302 303 1 		 0.1520066 0.01760033 0.05522421 0.01276121 0.003308195 0.01016541 0.003387103 0.01016936
1 304 305 306 1 		 0.2006744 0.02003372 0.07333155 0.01366658 0.006635893 0.01033179 0.01106689 0.01055334
1 307 308 309 1 		 0.1336735 0.01668368 0.077247 0.01386235 0.004247027 0.01021235 0.01114072 0.01055704
1 310 311 312 1 		 0.07504359 0.01375218 0.06373116 0.01318656 0.001467199 0.01007336 0.008466794 0.01042334
1 313 314 315 1 		 -0.02742338 0.01137117 -0.0257727 0.01128864 0.001592762 0.01007964 -0.001284316 0.01006422
1 316 317 318 1 		 -0.05258543 0.01262927 -0.03241726 0.01162086 0.001909209 0.01009546 -0.001955692 0.01009778
1 319 320 321 1 		 -0.09839657 0.01491983 -0.03530059 0.01176503 0.002227256 0.01011136 -0.002672907 0.01013365
1 322 323 324 1 		 -0.1339152 0.01669576 -0.03511403 0.0117557 0.002730129 0.01013651 -0.002857894 0.01014289
1 325 326 327 1 		 -0.07040321 0.01352016 -0.04284308 0.01214215 0.003620621 0.01018103 -0.002408894 0.01012044
1 328 329 330 1 		 -0.03739858 0.01186993 -0.03630451 0.01181523 0.005953992 0.0102977 -0.001860654 0.01009303
1 331 332 333 1 		 -0.02957097 0.01147855 -0.02984204 0.0114921 0.01308751 0.01065438 0.001370577 0.01006853
1 334 335 336 1 		 -0.01033406 0.0105167 -0.01271477 0.01063574 0.02823519 0.01141176 0.01021013 0.01051051
1 337 338 339 1 		 0.03769362 0.01188468 0.01971617 0.01098581 0.03769362 0.01188468 0.01971617 0.01098581
1 340 341 342 1 		 0.1379444 0.01689722 0.05241179 0.01262059 0.03598439 0.01179922 0.02467321 0.01123366
1 343 344 345 1 		 0.1728826 0.01864413 0.06518685 0.01325934 0.02794803 0.0113974 0.02471874 0.01123594
1 346 347 348 1 		 0.1132825 0.01566413 0.06852487 0.01342624 0.01550109 0.01077505 0.02005202 0.0110026
1 349 350 351 1 		 0.06403595 0.0132018 0.05723798 0.0128619 0.007095408 0.01035477 0.01434179 0.01071709
1 352 353 354 1 		 -0.02472033 0.01123602 -0.02246372 0.01112319 0.006747366 0.01033737 0.005389168 0.01026946
1 355 356 357 1 		 -0.04539261 0.01226963 -0.02726329 0.01136316 0.01418477 0.01070924 0.008817058 0.01044085
1 358 359 360 1 		 -0.0797448 0.01398724 -0.02828687 0.01141434 0.03225701 0.01161285 0.01442879 0.01072144
1 361 362 363 1 		 -0.1043233 0.01521617 -0.02567387 0.01128369 0.06990504 0.01349525 0.02294469 0.01114723
1 364 365 366 1 		 -0.05772582 0.01288629 -0.0286637 0.01143319 0.1161213 0.01580607 0.03653193 0.0118266
1 367 368 369 1 		 -0.02638551 0.01131928 -0.01988634 0.01099432 0.141261 0.01706305 0.04714983 0.01235749
1 370 371 372 1 		 -0.01264868 0.01063243 -0.01032486 0.01051624 0.1511809 0.01755905 0.05286024 0.01264301
1 373 374 375 1 		 0.003308195 0.01016541 0.003387103 0.01016936 0.1520066 0.01760033 0.05522421 0.01276121
1 376 377 378 1 		 0.03598439 0.01179922 0.02467321 0.01123366 0.1379444 0.01689722 0.05241179 0.01262059
1 379 380 381 1 		 0.1016917 0.01508459 0.04475846 0.01223792 0.1016917 0.01508459 0.04475846 0.01223792
1 382 383 384 1 		 0.1197135 0.01598568 0.05371478 0.01268574 0.05565741 0.01278287 0.03661897 0.01183095
1 385 386 387 1 		 0.08092753 0.01404638 0.05576779 0.01278839 0.02622571 0.01131129 0.02734534 0.01136727
